"doc_id","AB","TI","DE","PY","DT","DI","LA"
"HAN Q, 2024, J SYST ARCHITECT","Electronic voting (E-voting), a crucial method in modern society, balances efficiency with the need for equity, reliability, and privacy to accurately record votes and maintain democracy. However, there is the challenge of potential leakage of voting information in scenarios where administrators of voting system may act maliciously. Moreover, contemporary collaborative counting methods face a significant increase in the cost of storage and heightened communication overhead in large-scale e-voting. In response, this paper proposes an innovative online voting protocol that integrates Intel SGX, homomorphic encryption, and zero-knowledge proof. This protocol aims to cut down the cost of communication and storage while maximizing the protection of voter privacy. The protocol relies on SGX to provide a trusted execution environment for the voting process, guarding against malicious attacks from external software or high-privileged administrators. In the proposed protocol, voters apply homomorphic encryption algorithms to locally encrypt their ballots, no longer relying on other entities (such as the voting system or SGX) for encryption. Then the encrypted ballots are submitted to SGX to mitigate the threat of data leakage in SGX. Through the adoption of zero-knowledge proof technology, the voting protocol can verify the legitimacy of votes without revealing their content. The proposed solution introduces the SGXVOT architecture, comprising two enclaves - Enclave V responsible for tallying individual encrypted votes, and Enclave T responsible for decrypting and publishing voting results. This design ensures that individual voters' ballots remain in ciphertext, preserving the confidentiality of votes and voter privacy. Additionally, the protocol incorporates a ""One-Time Pad""encryption communication protocol to guarantee the confidentiality of communication messages between Enclave V and Enclave T. The thorough security analysis and performance evaluation demonstrate the superior performance of the proposed solution in terms of security, practicality, and scalability.","An SGX-based online voting protocol with maximum voter privacy","E-voting; Intel SGX; Homomorphic encryption; Zero knowledge proof",2024,"ARTICLE","10.1016/j.sysarc.2024.103144","ENGLISH"
"RATHIKA S, 2023, MULTIMED TOOLS APPL","Information security provides a process of hiding secret information to protect the sensitive data from attackers. To achieve secure data transmission, data hiding and steganographic techniques are being developed. Image steganography is commonly employed in several areas such as telecommunication, mobile computing, online voting system, image retrieval, and privacy of patient details. Furthermore, encryption technique acts as an integral part to save the original data from illegal access. In this view, this paper presents a new monarchy butterfly optimization algorithm-based encryption with image steganography for hiding information in thermal images (MBOA-ESTI). The presented MBOA-ESTI method includes various phases of operations like ensemble of encryption, channel extraction, optimal pixel selection, embedded process, and decomposition. Then, the encryption of the images takes place by using three encryption systems Rubik's Cube Principle (RCP), Henon map (HM), and improved chaotic map (ICM). In addition, the presented MBOA-ESTI model involves multilevel discrete wavelet transform (DWT) based image decomposition process. In addition, the optimum pixel selection technique is performed using MBOA over the encrypted R, G, and B channels. For investigating the outcome of the MBOA-ESTI technique, wide-ranging experimentation was performed using MATLAB R2014a tool and the outcomes are examined interms of discrete performance measures. The experimental outcomes pointed out that the MBOA-ESTI model has resulted in an average mean square error (MSE) of 0.093, peak signal to noise ratio (PSNR) of 58.46dB, and normalized cross-correlation (NCC) of 0.997.","An ensemble of monarchy butterfly optimization based encryption techniques on image steganography for data hiding in thermal images","Image steganography; Thermal images; Security; Optimal pixel selection; Monarchy butterfly optimization algorithm",2023,"ARTICLE","10.1007/s11042-023-15693-3","ENGLISH"
"PARBAT T, 2023, LECT NOTES COMPUT SC","Digitization of elections demands end-to-end security of the overall process and hence, cyber security for elections is an important issue. Distributed blockchain technology in e-voting can only provide verification advantages. However, voters' authenticity, data confidentiality, and intermediaries represent other major concerns in this regard. Existing secure voting frameworks either provide final voting results with the help of trusted intermediaries or provide vote verifiability in an unencrypted domain. At present, there is no such realistic mechanism to assure full security of vote casting and result declaration from cyber threats. Even Microsoft's ElectionGuard is not free from post-quantum attacks due to additive ElGamal cryptosystem. To achieve effective guards against cyberattacks, we propose a voting framework, which reduces vote transmission overhead on a per-voter basis and supports post-quantum secure automated vote counting and winner selection without any manual intervention with the aid of multi-key homomorphic encryption. Along with suitable preventive measures against double voting, vote rigging, and coercion effects, we include a secure result deciphering process evading the possibility of result alteration using multi-key approach. Though our scheme is scalable for smaller as well as large organizations/communities, encrypted processing is inherently performance-costly. Hence, to reduce the overall timing overhead, encrypted hierarchical processing with zonal segregation and parallel computation have been incorporated. Our proposed scheme demonstrates party-specific vote counting without rank generation within 4 days and 22 h and vote counting with winner rank calculation within 5 days (for four candidates and one hundred thousand voters) without any manual intervention with the support of suitable distributed computing.","Democracy in Your Hands!: Practical Multi-key Homomorphic E-Voting","E-voting; Security; Privacy; Homomorphic Encryption; Multi-key",2023,"PROCEEDINGS PAPER","10.1007/978-3-031-49099-6_16","ENGLISH"
"DELAUNE S, 2025, J COMPUT SECUR","Electronic voting promises the possibility of convenient and efficient systems for recording and tallying votes in an election. To be widely adopted, ensuring the security of the cryptographic protocols used in e-voting is of paramount importance. However, the security analysis of this type of protocol raises a number of challenges, and they are often out of reach of existing verification tools. In this paper, we study vote privacy, a central security property that should be satisfied by any e-voting system. More precisely, we propose the first formalisation of the recent BPRIV notion in the symbolic setting. To ease the formal security analysis of this notion, we propose a reduction result allowing one to bind the number of voters and ballots needed to mount an attack. We first consider the case where voters do not revote, and the ballot box is trusted. Then, we extend this reduction result, as well as our formalisation of BPRIV, to account for the case of re-voting and a dishonest ballot box. We apply our reduction results to a number of case studies including several versions of Helios, Belenios, JCJ/Civitas, and Pr & ecirc;t-& agrave;-Voter. For some of these protocols, thanks to our result, we are able to conduct the analysis relying on the automatic tool Proverif.","Is one vote really enough? Vote privacy with re-voting and a dishonest ballot box","electronic voting; formal methods; protocol verification; privacy",2025,"ARTICLE","10.1177/0926227X251335296","ENGLISH"
"ZENG C, 2025, IEEE IC COMP COM NET","Electronic voting (e-voting) plays a key role in modern democratic processes, especially in scenarios where consensus or collective decisions need to be reached. Existing e-voting schemes share the same paradigm of ""one-personone-vote"" and treat all voters equally, which is unsatisfactory for weighted settings where every voter is associated with a weight. Furthermore, existing schemes suffer from critical threats towards voters' privacy and voting results, which becomes a major hindrance towards the broad adoption of e-voting schemes in reality. In this paper, we propose a verifiable e-voting scheme, dubbed WEAPT, to support weighted e-voting with a strong security guarantee. The key technique behind WEAPT is a threshold weighted matrix aggregation mechanism with public verifiability and privacy preservation, where the Shamir secret sharing scheme, Pedersen vector commitment scheme, and zeroknowledge proofs are deployed. We provide security analyses to show that WEAPT is secure against internal and external adversaries. We implement a WEAPT prototype and conduct a comprehensive performance evaluation, which demonstrates its practical efficiency.","Verifiable Weighted Electronic Voting against Tally Leakage for Popular Voting Methods","Weighted e-voting; Privacy preservation; Verifiability; Tally-hiding",2025,"PROCEEDINGS PAPER","10.1109/ICCCN65249.2025.11134014","ENGLISH"
"RAHMAN K, 2024, HELIYON","This study pioneers an innovative approach to fortifying online voting systems, leveraging RSA (Rivest-Shamir-Adleman) encryption and decryption techniques for robust data protection. Through a comprehensive amalgamation of advanced security layers, including MobileFaceNetdriven face verification, device fingerprint matching, and multi-factor authentication, this system engenders a resilient shield against cyber vulnerabilities. By harnessing a Firebase database, user information is securely stored and authenticated, affirming their pivotal role in the democratic process. The symphony of RSA encryption and decryption orchestrates a formidable fortress around data transmission and storage, ensuring impregnable security against digital threats. This paradigm shift in voting technology strives to not only elevate security but also enhance accessibility and convenience, ultimately contributing to the evolution of online voting systems and fostering greater participation rates and reducing associated costs in the digital era.","Highly secured and effective management of app-based online voting system using RSA encryption and decryption","E -Voting; RSA encryption and decryption; Face detection; Authentication; Face recognition; User validation using OTP; Device fingerprint authentication",2024,"ARTICLE","10.1016/j.heliyon.2024.e25373","ENGLISH"
"PEGORINI J, 2021, 14TH INTERNATIONAL CONFERENCE ON THEORY AND PRACTICE OF ELECTRONIC GOVERNANCE (ICEGOV 2021)","Democracy is one of the processes that has become electronic over the years, and Brazil, as one of the countries with the largest democracy in the world in terms of number of voters, has also started the informatization of the voting process. However, it is important to note that, in addition to advantages that an all-electronic voting process brings to an election, such as rapid vote tabulation and the availability of results, there are technical issues to be addressed to prevent fraud and system failures, ensuring a fair process. In this sense, this paper presents a case study that analyzes what are the problems faced in the Brazilian electronic process by studying public reports released by the authorities. Brazilian e-voting system has several security mechanisms, such as voter authentication by biometrics, and is capable of detecting unauthorized modifications. Our findings show that, despite the Brazilian e-voting technological evolution, the system still faces some problems that can compromise the outcome of an election, and also bring some doubts about the procedures defined for carrying out public security tests in the e-voting system.","Security and Threats in the Brazilian e-Voting System: A Documentary Case Study Based on Public Security Tests","electronic voting; electoral system; information security; security tests; Brazilian elections",2021,"PROCEEDINGS PAPER","10.1145/3494193.3494301","ENGLISH"
"YANG X, 2020, FUTURE GENER COMP SY","In organizing elections, a difficult problem is to achieve trust of all voters in the tallying process. Practical elections often lead to recounting of the submitted votes and raise questions about the validity of many submitted votes. There are even situations, when the opposition raises concerns about the validity of the whole election process due to insufficient transparency in the verification of the votes and in tallying. To solve this problem, the present paper proposes a new voting protocol based on the blockchain technology. There are several main advantages of the protocol. It does not rely on a trusted tallying authority. All votes are submitted with complete proofs of validity and are available for public access in an encrypted form. We propose a new encryption mechanism to guarantee that nobody can decrypt the votes, but everyone can verify the validity of the votes as well as the outcome of the tallying process by using the homomorphic property of the encryption. This makes the results of the election publicly verifiable. Our protocol enables all voters to store, verify, and tally all submitted votes which are added to a blockchain database. They allow every voter to rank each candidate by assigning different scores to them, rather than voting for only one candidate. Each vote is encrypted using a new encryption mechanism before submission. For each encrypted score in the vote, proofs are generated and stored. Everyone can use these proofs to verify the correctness and the eligibility of each submission without decrypting the content of the vote. This ensures the validity of the submitted votes in the counting process and at the same time maintains confidentiality. The security and performance analyses included in this paper demonstrate the feasibility of the proposed protocol for implementation in real elections. (C) 2020 Elsevier B.V. All rights reserved.","Blockchain voting: Publicly verifiable online voting protocol without trusted tallying authorities","Blockchain voting; End-to-end voter verification; Self-tallying; Homomorphic addition",2020,"ARTICLE","10.1016/j.future.2020.06.051","ENGLISH"
"LU Y, 2024, COMPUT STAND INTER","In the post-epidemic era, the prevalence of remote collaborations in modern work environments highlight the importance of e-voting as a critical component in facilitating distributed decision-making. Most of the existing e-voting systems heavily rely on a centralized tally authority which requires a high degree of moral trust. However, this kind of architecture is insufficient for expected decentralization and verifiability in remote decision-making. A self-tallying e-voting system is more in line with our developed demands, nonetheless, it suffers adaptive and abortive issues inherently and as a result, fairness cannot be guaranteed. In this paper, we try to provide rational trust by building a blockchain-based self-tallying e-voting system with public traceability. We improve fairness and achieve a balance between privacy and accountability by taking advantage of a time-lock puzzle and traceable ring signature, in which the puzzle-solving time does not impose a real burden. We propose a concrete construction and prove that our protocol satisfies time-limited ballot secrecy, anonymity, exculpability, public traceability, self-tallying and fairness. We implement the prototype both on-chain and off-chain, and the results of time overhead of each phase demonstrate the practicability of our proposal.","Self-tallying e-voting with public traceability based on blockchain","E-voting; Public traceability; Self-tallying; Blockchain",2024,"ARTICLE","10.1016/j.csi.2023.103795","ENGLISH"
"SHARP M, 2024, NETWORK-BASEL","Advancements in blockchain technology and network technology are bringing in a new era in electronic voting systems. These systems are characterized by enhanced security, efficiency, and accessibility. In this paper, we compose a comparative analysis of blockchain-based electronic voting (e-voting) systems using blockchain technology, cryptographic techniques, counting methods, and security requirements. The core of the analysis involves a detailed examination of blockchain-based electronic voting systems, focusing on the variations in architecture, cryptographic techniques, vote counting methods, and security. We also introduce a novel blockchain-based e-voting system, which integrates advanced methodologies, including the Borda count and Condorcet method, into e-voting systems for improved accuracy and representation in vote tallying. The system's design features a flexible and amendable blockchain structure, ensuring robustness and security. Practical implementation on a Raspberry Pi 3 Model B+ demonstrates the system's feasibility and adaptability in diverse environments. Our study of the evolution of e-voting systems and the incorporation of blockchain technology contributes to the development of secure, transparent, and efficient solutions for modern democratic governance.","Blockchain-Based E-Voting Mechanisms: A Survey and a Proposal","blockchain; electronic voting; Borda count; Condorcet method",2024,"ARTICLE","10.3390/network4040021","ENGLISH"
"DEBANT A, 2023, PROCEEDINGS OF THE 32ND USENIX SECURITY SYMPOSIUM","We conduct a security analysis of the e-voting protocol used for the largest political election using e-voting in the world, the 2022 French legislative election for the citizens overseas. Due to a lack of system and threat model specifications, we built and contributed such specifications by studying the French legal framework and by reverse-engineering the code base accessible to the voters. Our analysis reveals that this protocol is affected by two design-level and implementation-level vulnerabilities. We show how those allow a standard voting server attacker and even more so a channel attacker to defeat the election integrity and ballot privacy due to 5 attack variants. We propose and discuss 5 fixes to prevent those attacks. Our specifications, the attacks, and the fixes were acknowledged by the relevant stakeholders during our responsible disclosure. They implemented our fixes to prevent our attacks for future elections. Beyond this protocol, we draw general lessons, recommendations, and open questions from this instructive experience where an e-voting protocol meets the real-world constraints of a large-scale, political election.","Reversing, Breaking, and Fixing the French Legislative Election E-Voting Protocol",NA,2023,"PROCEEDINGS PAPER",NA,"ENGLISH"
"DE F J, 2024, J INF SECUR APPL","Voting is essential to assure democracy. The voting process is supported by mission-critical systems that have among others functional, cybersecurity, and data privacy requirements. Comprehensive approaches are required to identify the requirements and technologies needed to design the solution. STPA is a method for identifying system safety requirements that have been extended to identify cybersecurity requirements. LINDDUN is a privacy threat modeling methodology that supports analysts in privacy-eliciting and mitigating threats in software architectures. Blockchain is a technology that uses a peer-to-peer computer network as a public distributed ledger. We propose an approach that uses STPA and its extensions to identify the cybersecurity and data privacy requirements, and incorporates the blockchain technology to design the solution for the mission-critical e-voting system. We built a proof of concept of the solution and performed cybersecurity and data privacy tests. The tests showed that the solution meets the critical cybersecurity and data privacy requirements. The major contributions of this paper include an approach that employs cybersecurity and data privacy threat modeling techniques to enhance the STPA analysis of a system, and the design of a Blockchain-based, verifiable e-voting system.","Approach based on STPA extended with STRIDE and LINDDUN, and blockchain to develop a mission-critical e-voting system","STPA; STRIDE; LINDDUN; Blockchain; e-voting; Mission-critical",2024,"ARTICLE","10.1016/j.jisa.2024.103715","ENGLISH"
"GRANATA D, 2024, IEEE ACCESS","Despite the growing role of information and communication technology (ICT) in public administration, paper ballots still dominate elections, especially in Italy. Electronic voting has had limited success worldwide, largely due to security and manipulation concerns. The COVID-19 pandemic has reignited interest in remote e-voting for safe participation while social distancing, though security remains a critical issue. Embracing electronic voting is essential to safeguard rights, improve resource efficiency, and promote digital citizenship. Accordingly, to address security concerns in e-voting, this research emphasizes the importance of security and legal measures. The study is based on ISO15408 (Common Criteria) certification process, a framework for independent security evaluations. The paper proposes a methodology that combines legal and technical requirements for e-voting security assessments, focusing on BPMN processes to model scenarios. The methodology has been applied to a common Ethereum smart contract, focusing on the e-voting process. A detailed analysis of a Solidity e-voting smart contract reveals its vulnerabilities and limitations. The research also produces a BPMN representation of an e-voting scenario, aligning logical behaviour with smart contract implementation. The aim is to bridge the gap between legal and technical aspects of e-voting, enhancing security and transparency.","A Methodology for Vulnerability Assessment and Threat Modelling of an e-Voting Platform Based on Ethereum Blockchain","Security; Electronic voting; Certification; Law; Privacy; Taxonomy; Smart contracts; Computer security; Threat modeling; Blockchains; Blockchain; Ethereum; e-voting; security assessment; threat modeling",2024,"ARTICLE","10.1109/ACCESS.2024.3495981","ENGLISH"
"LUEKS W, 2020, PROCEEDINGS OF THE 29TH USENIX SECURITY SYMPOSIUM","The strongest threat model for voting systems considers coercion resistance: protection against coercers that force voters to modify their votes, or to abstain. Existing remote voting systems either do not provide this property; require expensive operations for tallying; or burden users with the need to store cryptographic key material and with the responsibility to deceive their coercers. We propose VOTEAGAIN, a scalable voting scheme that relies on the revoting paradigm to provide coercion resistance. VOTEAGAIN uses a novel deterministic ballot padding mechanism to ensure that coercers cannot see whether a vote has been replaced. This mechanism ensures tallying takes quasilinear time, making VGITAGAIN the first revoting scheme that can handle elections with millions of voters. We prove that VOTEAGAIN provides ballot privacy, coercion resistance, and verifiability; and we demonstrate its scalability using a prototype implementation of its core cryptographic primitives.","VOTEAGAIN: A scalable coercion-resistant voting system",NA,2020,"PROCEEDINGS PAPER",NA,"ENGLISH"
"AGRAWAL P, 2024, P IEEE COMPUT SECUR","While existing literature on electronic voting has extensively addressed verifiability of voting protocols, the vulnerability of electoral rolls in large public elections remains a critical concern. To ensure integrity of electoral rolls, the current practice is to either make electoral rolls public or share them with the political parties. However, this enables construction of detailed voter profiles and selective targeting and manipulation of voters, thereby undermining the fundamental principle of free and fair elections. In this paper, we study the problem of designing publicly auditable yet privacy-preserving electoral rolls. We first formulate a threat model and provide formal security definitions. We then present a protocol for creation, maintenance and usage of electoral rolls that mitigates the threats. Eligible voters can verify their inclusion, whereas political parties and auditors can statistically audit the electoral roll. Further, the audit can also detect polling-day ballot stuffing and denials to eligible voters by malicious polling officers. The entire electoral roll is never revealed, which prevents any large-scale systematic voter targeting and manipulation.","Publicly auditable privacy-preserving electoral rolls","electronic voting; eligibility; electoral rolls; auditability",2024,"PROCEEDINGS PAPER","10.1109/CSF61375.2024.00044","ENGLISH"
"EDELSON L, 2020, P IEEE S SECUR PRIV","Actors engaged in election disinformation are using online advertising platforms to spread political messages. In response to this threat, online advertising networks have started making political advertising on their platforms more transparent in order to enable third parties to detect malicious advertisers. We present a set of methodologies and perform a security analysis of Facebook's U.S. Ad Library, which is their political advertising transparency product. Unfortunately, we find that there are several weaknesses that enable a malicious advertiser to avoid accurate disclosure of their political ads. We also propose a clustering-based method to detect advertisers engaged in undeclared coordinated activity. Our clustering method identified 16 clusters of likely inauthentic communities that spent a total of over four million dollars on political advertising. This supports the idea that transparency could be a promising tool for combating disinformation. Finally, based on our findings, we make recommendations for improving the security of advertising transparency on Facebook and other platforms.","A Security Analysis of the Facebook Ad Library",NA,2020,"PROCEEDINGS PAPER","10.1109/SP40000.2020.00084","ENGLISH"
"HUANG D, 2020, IEEE T SYST MAN CY-S","Consensus is one of the key problems in blockchains. There are many articles analyzing the performance of threat models for blockchains. But the network stability seems lack of attention, which in fact affects the blockchain performance. This paper studies the performance of a well adopted consensus algorithm, Raft, in networks with non-negligible packet loss rate. In particular, we propose a simple but accurate analytical model to analyze the distributed network split probability. At a given time, we explicitly present the network split probability as a function of the network size, the packet loss rate, and the election timeout period. To validate our analysis, we implement a Raft simulator and the simulation results coincide with the analytical results. With the proposed model, one can predict the network split time and probability in theory and optimize the parameters in Raft consensus algorithm.","Performance Analysis of the Raft Consensus Algorithm for Private Blockchains","Voting; Blockchain; Heart beat; Consensus algorithm; Packet loss; Transient analysis; Blockchain; network split probability; private blockchain; Raft consensus algorithm",2020,"ARTICLE","10.1109/TSMC.2019.2895471","ENGLISH"
